,name,rating,review,company_type,Head_Quarters,Company_Age,No_of_Employee
1963,Dharampal Premchan...,4.0,(186 Reviews),Private,"Delhi/NCR,New Delhi + 34 more",92 years old,501-1k employees (Global)
1964,Amadeus,3.7,(186 Reviews),Public,Madrid + 11 more,9 years old,501-1k employees (India)
1965,Hitachi Consulting,3.4,(186 Reviews),Private,"Dallas,Texas + 7 more",21 years old,1k-5k employees (India)
1966,Aimil,3.4,(186 Reviews),Private,"Delhi/NCR,New Delhi + 30 more",89 years old,501-1k employees (Global)
1967,Sheela Foam,4.2,(186 Reviews),Public,"Delhi/NCR,Delhi + 48 more",50 years old,1k-5k employees (India)
1968,Phillips Carbon Bl...,3.6,(186 Reviews),Public,"Kolkata,West Bengal + 10 more",61 years old,501-1k employees (Global)
1969,Shriram Group,4.0,(186 Reviews),Private,"Chennai,Tamil Nadu + 87 more",47 years old,50k-1 Lakh employees (India)
1970,McKinsey & Company,4.2,(186 Reviews),Private,"New York,New York + 5 more",95 years old,10k-50k employees (Global)
1971,Shangri-la Hotels ...,4.4,(186 Reviews),Public,Hong Kong + 15 more,50 years old,10k-50k employees (Global)
1972,Air India Air Tran...,3.7,(186 Reviews),"Delhi/NCR,New Delhi + 32 more",18 years old,10k-50k employees (Global),
1973,Hilex,3.8,(186 Reviews),Private,"Gurgaon/Gurugram,Haryana + 8 more",75 years old,201-500 employees (Global)
1974,Blue Yonder,4.0,(186 Reviews),"Scottsdale,Arizona + 8 more",36 years old,1k-5k employees (India),
1975,FabHotels,3.2,(186 Reviews),Private,Gurgaon + 23 more,7 years old,11-50 employees (India)
1976,Agrostar,4.3,(186 Reviews),Pune + 13 more,13 years old,1k-5k employees (India),
1977,Celebi NAS Airport...,4.1,(185 Reviews),Private,"Mumbai,Maharashtra + 7 more",13 years old,10k-50k employees (Global)
1978,Continental,4.1,(185 Reviews),Private,Hanover + 32 more,150 years old,5k-10k employees (India)
1979,Caretel Infotech,3.6,(185 Reviews),Private,"Delhi/NCR,New Delhi + 8 more",17 years old,5k-10k employees (Global)
1980,Rajsriya Automotiv...,2.8,(185 Reviews),Private,"Hosur,Tamil Nadu + 5 more",44 years old,501-1k employees (Global)
1981,Teva API,4.3,(185 Reviews),Private,Tel Aviv + 12 more,86 years old,5k-10k employees (Global)
1982,Su-Kam Power Syste...,4.3,(185 Reviews),Private,"Gurgaon/Gurugram,Haryana + 40 more",33 years old,1k-5k employees (Global)
1983,Electrical Researc...,4.0,(185 Reviews),Private,"Vadodara/Baroda,Gujarat + 19 more",47 years old,201-500 employees (Global)
1984,Easyday Club,4.1,(185 Reviews),"Mumbai,Maharashtra + 59 more",13 years old,1k-5k employees (Global),
1985,TIAA,4.2,(185 Reviews),Private,"Manhattan,New York + 2 more",103 years old,1k-5k employees (India)
1986,NR Switch N Radio ...,3.9,(185 Reviews),Private,"Kota,Rajasthan + 36 more",23 years old,501-1k employees (Global)
1987,Reliance Fresh,4.3,(184 Reviews),Private,Mumbai + 48 more,15 years old,1 Lakh+ employees (Global)
1988,DEN Networks,3.8,(184 Reviews),Public,"Delhi/NCR,New Delhi + 23 more",14 years old,1k-5k employees (Global)
1989,Cera Sanitaryware,4.0,(184 Reviews),Public,"Ahmedabad,Gujrat + 39 more",41 years old,1k-5k employees (Global)
1990,Rosmerta Technolog...,2.9,(184 Reviews),Private,"Gurgaon/Gurugram,Haryana + 42 more",15 years old,201-500 employees (Global)
1991,GMR Hyderabad Inte...,4.1,(184 Reviews),Private,"Delhi/NCR,Delhi + 7 more",21 years old,1k-5k employees (Global)
1992,Indian Immunologic...,4.2,(184 Reviews),"Hyderabad/Secunderabad,Telangana + 17 more",39 years old,1k-5k employees (Global),
1993,India Glycols,4.0,(184 Reviews),Public,"Noida,Uttar Pradesh + 12 more",38 years old,1k-5k employees (Global)
1994,Nestaway,3.6,(184 Reviews),Bangalore + 12 more,6 years old,201-500 employees (India),
1995,JBS Enterprises,3.5,(184 Reviews),"Mumbai,Maharashtra + 31 more",34 years old,1k-5k employees (Global),
1996,Seoyon E-hwa Autom...,4.0,(184 Reviews),Seoul + 12 more,49 years old,51-200 employees (India),
1997,Hyundai Heavy Indu...,4.3,(184 Reviews),"Ulsan,Yeoungam + 20 more",49 years old,10k-50k employees (Global),
1998,B2x Service Soluti...,3.3,(184 Reviews),"Munich,Bavaria + 30 more",14 years old,201-500 employees (India),
1999,Shivam Infocom,3.9,(184 Reviews),Private,"Delhi/NCR,Delhi + 29 more",18 years old,1k-5k employees (Global)
2000,Aurigo,4.9,(183 Reviews),Private,"Austin,Texas + 2 more",18 years old,201-500 employees (India)
2001,EMCO,4.0,(183 Reviews),Public,"Mumbai,Maharashtra + 23 more",57 years old,501-1k employees (Global)
2002,Darcl Logistics,3.7,(183 Reviews),Private,"Hisar,Haryana + 31 more",46 years old,1k-5k employees (Global)
2003,Aker Solutions,4.0,(183 Reviews),Private,"Fornebu,Akershus + 4 more",180 years old,10k-50k employees (Global)
2004,Yusen Logistics,4.0,(183 Reviews),Private,Tokyo + 21 more,66 years old,501-1k employees (India)
2005,Ad2Pro Media Solut...,3.6,(183 Reviews),"Bangalore/Bengaluru,Karnataka + 2 more",13 years old,1k-5k employees (Global),
2006,Kores,3.9,(183 Reviews),Private,"Mumbai,Maharashtra + 25 more",85 years old,1k-5k employees (Global)
2007,India Post,4.1,(183 Reviews),Public,"Mysore/Mysuru,Karnataka + 78 more",167 years old,1 Lakh+ employees (Global)
2008,MSD Pharmaceutical...,3.9,(183 Reviews),Private,"Gurgaon/Gurugram,Haryana + 34 more",56 years old,50k-1 Lakh employees (Global)
2009,OnProcess Technolo...,3.6,(183 Reviews),Private,"Ashland,Massachusetts",23 years old,1k-5k employees (Global)
2010,Prism Johnson,4.0,(183 Reviews),Public,"Mumbai,Maharashtra + 53 more",29 years old,1k-5k employees (Global)
2011,Tata Marcopolo Mot...,3.7,(183 Reviews),Public,"Pune,Maharashtra + 8 more",76 years old,1k-5k employees (Global)
2012,OpenText Technolog...,3.9,(183 Reviews),Private,"Waterloo,Ontario + 3 more",30 years old,1k-5k employees (India)
2013,Lloyd Insulations,3.7,(182 Reviews),Private,"Delhi/NCR,Delhi + 18 more",63 years old,1k-5k employees (Global)
2014,Country Club India,3.3,(182 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 23 more",36 years old,1k-5k employees (Global)
2015,SUEZ Environnement,4.0,(182 Reviews),Private,"Paris,Ile De France + 24 more",24 years old,1k-5k employees (India)
2016,Chaayos,3.8,(182 Reviews),Private,"Delhi/NCR,New Delhi + 12 more",9 years old,501-1k employees (India)
2017,Cooper Corporation,3.4,(182 Reviews),Private,"Pune,Maharashtra + 4 more",99 years old,1k-5k employees (Global)
2018,Tata Capital,3.8,(182 Reviews),"Mumbai,Maharashtra + 44 more",14 years old,,
2019,C-Edge Technologie...,3.8,(181 Reviews),Private,"Mumbai,Maharashtra + 11 more",15 years old,501-1k employees (Global)
2020,Hanon Systems,3.9,(181 Reviews),Private,Daejeon + 8 more,35 years old,501-1k employees (India)
2021,Nesma & Partners,4.5,(181 Reviews),Private,Jeddah + 15 more,40 years old,10k-50k employees (Global)
2022,KFintech,3.7,(181 Reviews),Hyderabad + 10 more,4 years old,5k-10k employees (Global),
2023,NKG Infrastructure,3.6,(180 Reviews),Private,"Delhi/NCR,Delhi + 23 more",32 years old,1k-5k employees (Global)
2024,Nuance Transcripti...,3.6,(180 Reviews),Private,"Burlington,Massachusetts + 8 more",22 years old,1k-5k employees (India)
2025,Meghmani Organics,4.0,(180 Reviews),Public,"Ahmedabad,Gujarat + 10 more",35 years old,1k-5k employees (Global)
2026,Kalyani Technoforg...,4.0,(180 Reviews),Private,"Pune,Maharashtra + 6 more",42 years old,1k-5k employees (Global)
2027,HungerBox,3.8,(180 Reviews),Private,Bangalore + 13 more,5 years old,501-1k employees (India)
2028,Ppap Automotive,4.0,(180 Reviews),Public,"Noida,Uttar Pradesh + 8 more",43 years old,1k-5k employees (India)
2029,Agro Tech Foods,4.2,(180 Reviews),Public,"Gurgaon/Gurugram,Haryana + 32 more",35 years old,201-500 employees (Global)
2030,Danfoss Industries,4.2,(180 Reviews),"Nordborg,Als + 12 more",28 years old,10k-50k employees (Global),
2031,Vizag Steel,4.1,(179 Reviews),Public,"Visakhapatnam/Vizag,Andhra Pradesh + 10 more",50 years old,10k-50k employees (Global)
2032,Ingersoll Rand,4.2,(179 Reviews),Public,"Dublin,Dublin + 17 more",49 years old,5k-10k employees (Global)
2033,Apex Laboratories,4.0,(179 Reviews),Private,Chennai + 32 more,43 years old,1k-5k employees (Global)
2034,Monnet Group,3.8,(179 Reviews),Public,"Raipur,Chhattisgarh + 13 more",31 years old,1k-5k employees (Global)
2035,Indo German Tool R...,3.9,(179 Reviews),Private,"Ahmedabad,Gujarat + 12 more",26 years old,201-500 employees (Global)
2036,UpGrad,3.0,(179 Reviews),Private,Mumbai + 12 more,6 years old,1k-5k employees (India)
2037,Talwalkars Better ...,3.5,(179 Reviews),Public,"Mumbai,Maharashtra + 50 more",89 years old,1k-5k employees (Global)
2038,Cordova Publicatio...,3.3,(179 Reviews),Private,"Delhi/NCR,New Delhi + 41 more",12 years old,201-500 employees (Global)
2039,Infor Global Solut...,3.9,(179 Reviews),Private,"Malvern,Pennsylvania + 3 more",19 years old,51-200 employees (India)
2040,Welspun Corp,4.0,(179 Reviews),Mumbai + 12 more,36 years old,10k-50k employees (Global),
2041,Morepen Laboratori...,3.8,(179 Reviews),Public,"Baddi,Himachal Pradesh + 19 more",37 years old,501-1k employees (Global)
2042,Galaxy Surfactants,2.5,(178 Reviews),Public,Mumbai + 7 more,41 years old,1k-5k employees (India)
2043,Allcargo Logistics,3.8,(178 Reviews),Public,"Mumbai,Maharashtra + 28 more",28 years old,1k-5k employees (India)
2044,Matrix Cellular Se...,3.2,(178 Reviews),Private,Delhi + 17 more,26 years old,51-200 employees (India)
2045,Prem Henna,3.8,(178 Reviews),Private,Indore + 45 more,91 years old,1k-5k employees (Global)
2046,Telecom Network So...,3.8,(178 Reviews),Private,"Noida,Uttar Pradesh + 28 more",20 years old,1k-5k employees (Global)
2047,Indo Farm Equipmen...,3.6,(178 Reviews),Private,"Solan,Madhya Pradesh + 24 more",27 years old,501-1k employees (Global)
2048,Fluper,4.2,(178 Reviews),"Noida,Uttar Pradesh + 2 more",8 years old,201-500 employees (Global),
2049,IDEMIA,3.5,(178 Reviews),Private,"Courbevoie,Courbevoie + 15 more",4 years old,1k-5k employees (India)
2050,CareerNet Consulti...,3.6,(178 Reviews),Private,Bangalore + 8 more,22 years old,1k-5k employees (Global)
2051,K12 Techno Service...,3.3,(178 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",11 years old,501-1k employees (Global)
2052,Insolutions Global,3.6,(177 Reviews),Private,Mumbai + 13 more,33 years old,1k-5k employees (India)
2053,Trianz,3.6,(177 Reviews),Private,"Santa Clara,California + 2 more",15 years old,1k-5k employees (Global)
2054,CPA Global,4.1,(177 Reviews),Private,"St Helier,New Jersey + 4 more",52 years old,1k-5k employees (Global)
2055,Faasos Food Servic...,4.1,(177 Reviews),Private,Pune + 15 more,11 years old,5k-10k employees (India)
2056,V.S.T Tillers Trac...,4.0,(177 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 28 more",54 years old,201-500 employees (Global)
2057,Ups Logistics,4.2,(177 Reviews),Private,"Atlanta,Georgia + 14 more",114 years old,1k-5k employees (India)
2058,Siti Networks,3.9,(177 Reviews),Public,Noida + 31 more,27 years old,201-500 employees (Global)
2059,Chambal Fertiliser...,3.9,(177 Reviews),Public,"Kota,Rajasthan + 29 more",36 years old,501-1k employees (Global)
2060,Delphi Automotive ...,4.1,(177 Reviews),Public,Dublin + 15 more,27 years old,10k-50k employees (Global)
2061,Tradebulls,3.2,(177 Reviews),"Mumbai,Maharashtra + 15 more",12 years old,,
2062,PCS Technology,3.7,(176 Reviews),Public,"Pune,Maharashtra + 42 more",40 years old,1k-5k employees (Global)
2063,Bharat Oman Refine...,4.0,(176 Reviews),Public,"Bina,Madhya Pradesh + 14 more",10 years old,501-1k employees (Global)
2064,eBIZ.com,4.2,(176 Reviews),Private,"Noida,Uttar Pradesh + 23 more",20 years old,51-200 employees (Global)
2065,Prem Motors,3.9,(176 Reviews),Private,"Gurgaon/Gurugram,Haryana + 8 more",31 years old,1k-5k employees (Global)
2066,TATA Advanced Mate...,3.8,(176 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 1 more",31 years old,501-1k employees (Global)
2067,Markets and Market...,3.0,(176 Reviews),Private,Pune + 2 more,11 years old,501-1k employees (India)
2068,Sun Knowledge,3.8,(176 Reviews),Private,"New York,New York + 1 more",15 years old,501-1k employees (Global)
2069,Markets and Market...,3.0,(176 Reviews),Private,Pune + 2 more,11 years old,501-1k employees (India)
2070,Brg Iron And Steel...,3.5,(176 Reviews),Private,"Kolkata,West Bengal + 7 more",19 years old,201-500 employees (Global)
2071,Hical Technologies,3.9,(176 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",33 years old,501-1k employees (Global)
2072,Sahyadri Hospital,4.2,(176 Reviews),Private,"Pune,Maharashtra + 3 more",27 years old,1k-5k employees (Global)
2073,Flowserve,4.2,(176 Reviews),Private,"Irving,Texas + 10 more",24 years old,10k-50k employees (Global)
2074,Titan Laboratories,3.9,(176 Reviews),Private,"Mumbai,Maharashtra + 7 more",17 years old,201-500 employees (India)
2075,Kuehne + Nagel,4.0,(175 Reviews),Private,"Schindellegi,Feusisberg + 20 more",131 years old,1k-5k employees (India)
2076,Roca Bathroom Prod...,3.7,(175 Reviews),Private,Municipality Of GavÃ + 37 more,15 years old,1k-5k employees (India)
2077,A2Z Group,3.9,(175 Reviews),Private,Gurgaon + 34 more,19 years old,10k-50k employees (Global)
2078,Tommy Hilfiger,4.5,(175 Reviews),Private,"Amsterdam,North Holland + 32 more",36 years old,10k-50k employees (Global)
2079,Allahabad Bank,4.3,(175 Reviews),Private,"Chennai,Tamil Nadu + 50 more",156 years old,10k-50k employees (Global)
2080,Global Indian Inte...,4.6,(175 Reviews),Private,Singapore + 16 more,13 years old,201-500 employees (India)
2081,Alicon Castalloy,3.9,(175 Reviews),Public,"Pune,Maharashtra + 6 more",31 years old,1k-5k employees (Global)
2082,SBI Mutual Fund,3.9,(175 Reviews),Private,"Mumbai,Maharashtra + 82 more",34 years old,1k-5k employees (India)
2083,Torry Harris Busin...,3.6,(175 Reviews),Private,"Perth Amboy,New Jersey + 2 more",23 years old,1k-5k employees (Global)
2084,Sir Ganga Ram Hosp...,4.3,(175 Reviews),Private,"Delhi/NCR,New Delhi + 11 more",67 years old,1k-5k employees (Global)
2085,Munjal Auto Indust...,3.7,(175 Reviews),Public,"Gurgaon/Gurugram,Haryana + 9 more",36 years old,1k-5k employees (Global)
2086,Uniparts Group,4.0,(175 Reviews),Private,"Noida,Uttar Pradesh + 14 more",37 years old,1k-5k employees (Global)
2087,Tetra Pak,4.2,(175 Reviews),Private,Pully + 10 more,34 years old,1k-5k employees (India)
2088,Simplilearn,3.2,(175 Reviews),Private,San Francisco + 1 more,11 years old,1k-5k employees (India)
2089,Mahagun India,3.0,(175 Reviews),Private,"Noida,Uttar Pradesh + 5 more",26 years old,501-1k employees (Global)
2090,Cyfuture,3.1,(175 Reviews),Noida + 14 more,20 years old,1k-5k employees (Global),
2091,Sun Life Financial,4.3,(174 Reviews),Private,"Toronto,Ontario + 3 more",156 years old,1k-5k employees (India)
2092,Nephroplus,3.9,(174 Reviews),Hyderabad + 42 more,12 years old,1k-5k employees (Global),
2093,Kutchina,3.8,(174 Reviews),Private,"Kolkata,West Bengal + 39 more",18 years old,11-50 employees (Global)
2094,Suroj Buildcon,4.2,(174 Reviews),Private,"Pune,Maharashtra + 18 more",8 years old,501-1k employees (India)
2095,ABCI Infrastructur...,3.4,(173 Reviews),Private,"Kolkata,West Bengal + 30 more",28 years old,501-1k employees (Global)
2096,Tata 1mg,4.0,(173 Reviews),Private,"Gurgaon/Gurugram,Haryana + 17 more",6 years old,201-500 employees (India)
2097,Ramco Industries,4.3,(173 Reviews),Public,"Chennai,Tamil Nadu + 28 more",29 years old,1k-5k employees (Global)
2098,Black Knight,3.1,(173 Reviews),Private,Jackonville + 1 more,7 years old,501-1k employees (India)
2099,Senco Gold,4.0,(173 Reviews),Private,"Kolkata,West Bengal + 40 more",27 years old,201-500 employees (Global)
2100,GGS Information Se...,3.4,(173 Reviews),Private,"York,Pennsylvania + 6 more",33 years old,501-1k employees (India)
2101,Aegon Life Insuran...,4.0,(173 Reviews),Private,Mumbai + 33 more,14 years old,1k-5k employees (Global)
2102,Madhucon Projects,3.2,(173 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 18 more",38 years old,501-1k employees (Global)
2103,Delhi Metro Rail C...,4.1,(172 Reviews),Public,"Delhi/NCR,New Delhi + 16 more",26 years old,10k-50k employees (India)
2104,Netafim Irrigation...,4.3,(172 Reviews),Private,"Vadodara/Baroda,Gujarat + 43 more",56 years old,1k-5k employees (Global)
2105,Orchid Chemicals &...,4.2,(172 Reviews),Private,"Chennai,Tamil Nadu + 17 more",29 years old,1k-5k employees (Global)
2106,Powerica,3.9,(172 Reviews),Private,"Mumbai,Maharashtra + 16 more",37 years old,501-1k employees (Global)
2107,MT Educare,3.6,(172 Reviews),Public,"Mumbai,Maharashtra + 18 more",33 years old,1k-5k employees (Global)
2108,METRO Global Busin...,4.2,(172 Reviews),Public,Pune,10 years old,501-1k employees (India)
2109,Cuemath,4.3,(172 Reviews),Bangalore + 15 more,10 years old,501-1k employees (India),
2110,Bmm Ispat,3.7,(172 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 6 more",45 years old,1k-5k employees (Global)
2111,Sheenlac Paints,3.5,(172 Reviews),Public,"Chennai,Tamil Nadu + 29 more",59 years old,501-1k employees (Global)
2112,TCG Lifesciences,3.8,(172 Reviews),"Kolkata,West Bengal + 5 more",20 years old,501-1k employees (Global),
2113,Fedbank Financial ...,4.0,(172 Reviews),Private,"Mumbai,Maharashtra + 47 more",11 years old,1k-5k employees (India)
2114,S Chand Group,3.9,(172 Reviews),New Delhi + 28 more,82 years old,,
2115,Maveric Systems,3.6,(172 Reviews),Public,"Chennai,Tamil Nadu + 4 more",21 years old,1k-5k employees (Global)
2116,Maxgen Technologie...,4.0,(172 Reviews),Private,"Mumbai,Maharashtra + 5 more",8 years old,201-500 employees (Global)
2117,Reliance AJIO,3.9,(172 Reviews),Bengaluru + 62 more,5 years old,501-1k employees (Global),
2118,Ashiana Housing,4.4,(172 Reviews),Public,"Delhi/NCR,Delhi + 14 more",42 years old,1k-5k employees (Global)
2119,e-Centric Solution...,3.3,(171 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 27 more",19 years old,1k-5k employees (Global)
2120,DFM Foods,4.1,(171 Reviews),Public,"Delhi/NCR,New Delhi + 36 more",38 years old,501-1k employees (Global)
2121,Aizant Drug Resear...,3.8,(171 Reviews),"Hyderabad/Secunderabad,Telangana + 1 more",16 years old,501-1k employees (Global),
2122,Rieter,3.7,(171 Reviews),Private,"Khandala,Punjab + 6 more",26 years old,1k-5k employees (Global)
2123,JSW Group,4.2,(171 Reviews),Private,Mumbai + 27 more,39 years old,50k-1 Lakh employees (India)
2124,Alpla,4.0,(171 Reviews),Private,"Hard,Vorarlberg + 8 more",66 years old,10k-50k employees (Global)
2125,Amrit Cement,3.8,(171 Reviews),Private,"Kolkata,West Bengal + 11 more",13 years old,501-1k employees (Global)
2126,S. M. Auto Enginee...,3.5,(171 Reviews),"Pune,Maharashtra + 4 more",45 years old,1k-5k employees (Global),
2127,Smaaash Entertainm...,4.1,(171 Reviews),Private,"Mumbai,Maharashtra + 18 more",12 years old,501-1k employees (Global)
2128,Bombay Rayon Fashi...,3.8,(171 Reviews),Public,"Mumbai,Maharashtra + 10 more",35 years old,10k-50k employees (Global)
2129,Muthoot Pappachan ...,3.9,(171 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 49 more",134 years old,10k-50k employees (India)
2130,Gammon Engineers A...,4.1,(171 Reviews),Mumbai + 27 more,99 years old,1k-5k employees (Global),
2131,Varuna Integrated ...,3.8,(171 Reviews),Private,"Gurgaon/Gurugram,Haryana + 34 more",25 years old,1k-5k employees (Global)
2132,S. M. Auto Enginee...,3.5,(171 Reviews),"Pune,Maharashtra + 4 more",45 years old,1k-5k employees (Global),
2133,Rockwell Automatio...,3.8,(171 Reviews),Private,"Milwaukee,Wisconsin + 14 more",118 years old,10k-50k employees (Global)
2134,Metalman Auto,3.9,(170 Reviews),Private,"Gurgaon/Gurugram,Haryana + 14 more",35 years old,1k-5k employees (Global)
2135,Mitsui O.S.K. Line...,4.0,(170 Reviews),Private,"Toranomon,Tokyo + 8 more",137 years old,5k-10k employees (Global)
2136,Hero Cycles,3.9,(170 Reviews),Public,"Gurgaon/Gurugram,Haryana + 25 more",65 years old,1k-5k employees (Global)
2137,Me n Moms,2.9,(170 Reviews),Private,"Mumbai,Maharashtra + 31 more",27 years old,501-1k employees (Global)
2138,Navin Fluorine Int...,4.0,(170 Reviews),Public,"Mumbai,Maharashtra + 6 more",54 years old,201-500 employees (Global)
2139,India Nippon Elect...,4.1,(170 Reviews),Public,"Hosur,Tamil Nadu + 14 more",37 years old,501-1k employees (India)
2140,Maxi Multiservices,3.1,(170 Reviews),Private,Lucknow + 45 more,6 years old,201-500 employees (Global)
2141,Lotte India Corpor...,3.9,(170 Reviews),Public,"Chennai,Tamil Nadu + 38 more",17 years old,501-1k employees (Global)
2142,Montecarlo Constru...,4.1,(170 Reviews),"Ahmedabad,Gujarat + 36 more",26 years old,1k-5k employees (Global),
2143,CallHealth,3.7,(170 Reviews),Private,Hyderabad + 13 more,8 years old,51-200 employees (India)
2144,Jumio,3.8,(170 Reviews),Private,"Palo Alto,California + 2 more",11 years old,51-200 employees (India)
2145,Bharat Aluminium C...,3.9,(169 Reviews),Private,"Delhi/NCR,New Delhi + 9 more",56 years old,1k-5k employees (India)
2146,NTT-Netmagic,4.1,(169 Reviews),Private,"Mumbai,Maharashtra + 11 more",23 years old,1k-5k employees (Global)
2147,Anthem Biosciences,3.7,(169 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",15 years old,201-500 employees (Global)
2148,Carrier,4.0,(169 Reviews),Private,"Charlotte,North Carolina + 29 more",106 years old,50k-1 Lakh employees (Global)
2149,T-Systems,3.7,(169 Reviews),Frankfurt + 4 more,12 years old,1k-5k employees (India),
2150,HomeShop18,4.3,(169 Reviews),Private,"Noida,Uttar Pradesh + 15 more",13 years old,1k-5k employees (Global)
2151,Orix Auto Infrastr...,4.3,(169 Reviews),Public,"Mumbai,Maharashtra + 15 more",26 years old,201-500 employees (India)
2152,Seven Hills Hospit...,3.8,(169 Reviews),Private,"Mumbai,Maharashtra + 8 more",35 years old,1k-5k employees (Global)
2153,M3M India,3.3,(169 Reviews),Private,"Gurgaon/Gurugram,Haryana + 1 more",36 years old,201-500 employees (India)
2154,Samsonite,4.2,(169 Reviews),Private,"Mumbai,Maharashtra + 34 more",111 years old,201-500 employees (India)
2155,Bharat Institution...,4.7,(169 Reviews),"Hyderabad/Secunderabad,Telangana + 2 more",20 years old,201-500 employees (India),
2156,Deloitte Touche Ae...,3.7,(169 Reviews),"Bangalore/Bengaluru,Karnataka + 14 more",11 years old,5k-10k employees (Global),
2157,The Louis Berger G...,4.3,(169 Reviews),Private,Montreal + 27 more,136 years old,5k-10k employees (Global)
2158,Costa Cruise Lines,4.6,(168 Reviews),Private,Genoa + 7 more,73 years old,51-200 employees (India)
2159,American Axle & Ma...,4.2,(168 Reviews),Private,"Detroit,Michigan + 9 more",27 years old,10k-50k employees (Global)
2160,Bhandari Automobil...,4.0,(168 Reviews),Private,"Midnapore,West Bengal + 16 more",43 years old,1k-5k employees (Global)
2161,Hitachi Hi-Rel Pow...,3.8,(168 Reviews),Private,"Ahmedabad,Gujarat + 19 more",38 years old,1k-5k employees (Global)
2162,TOPS,3.9,(168 Reviews),Private,New Delhi + 22 more,37 years old,201-500 employees (India)
2163,Yokohama,4.0,(168 Reviews),Private,Tokyo + 21 more,104 years old,201-500 employees (India)
2164,Kaynes Technology,3.5,(168 Reviews),Private,Mysore + 8 more,33 years old,201-500 employees (Global)
2165,Adnoc,4.6,(168 Reviews),Private,"Abu Dhabi,Abu Dhabi + 5 more",50 years old,1k-5k employees (India)
2166,Gallagher Offshore...,3.8,(168 Reviews),Private,Pune + 4 more,15 years old,10k-50k employees (Global)
2167,Sri Aurobindo Soci...,3.4,(168 Reviews),"Pondicherry/Puducherry,Tamil Nadu + 11 more",61 years old,201-500 employees (Global),
2168,Naaptol Online Sho...,3.4,(168 Reviews),Mumbai + 17 more,13 years old,51-200 employees (India),
2169,Ircon Internationa...,4.3,(168 Reviews),Private,"Delhi/NCR,Delhi + 26 more",45 years old,1k-5k employees (Global)
2170,ByteDance,4.4,(168 Reviews),"Shanghai,Shanghai + 10 more",9 years old,1k-5k employees (India),
2171,Dusters Total Solu...,4.1,(168 Reviews),"Bangalore/Bengaluru,Karnataka + 27 more",27 years old,10k-50k employees (Global),
2172,CEC International,4.6,(167 Reviews),Private,Taipei + 14 more,76 years old,1k-5k employees (Global)
2173,ELGI Equipments,4.0,(167 Reviews),Public,"Coimbatore,Tamil Nadu + 19 more",61 years old,1k-5k employees (Global)
2174,NTTF,3.6,(167 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 24 more",58 years old,501-1k employees (Global)
2175,UnitedLex,3.6,(167 Reviews),Private,"New York,New York + 2 more",15 years old,501-1k employees (India)
2176,Cosmo Films,4.2,(167 Reviews),Public,"Delhi/NCR,New Delhi + 5 more",40 years old,501-1k employees (Global)
2177,Globus Stores,4.0,(167 Reviews),Private,"Mumbai,Maharashtra + 32 more",23 years old,1k-5k employees (Global)
2178,Indian Overseas Ba...,4.0,(167 Reviews),Private,"Chennai,Tamil Nadu + 51 more",84 years old,10k-50k employees (Global)
2179,Zolo,3.6,(167 Reviews),Private,Bangalore + 10 more,6 years old,1k-5k employees (India)
2180,Al Ahleia Switchge...,3.8,(167 Reviews),Private,Safat + 5 more,39 years old,1k-5k employees (Global)
2181,Mrs Bector's Food ...,4.0,(167 Reviews),Public,Gurgaon + 29 more,43 years old,1k-5k employees (Global)
2182,BT E Serv,4.1,(167 Reviews),"Delhi/NCR,New Delhi + 3 more",14 years old,51-200 employees (Global),
2183,Dalmia-OCL,3.9,(167 Reviews),New Delhi + 23 more,5 years old,501-1k employees (Global),
2184,ASM Technologies,3.1,(167 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 13 more",29 years old,501-1k employees (Global)
2185,Rajasthan Patrika,3.0,(166 Reviews),Private,"Jaipur,Rajasthan + 32 more",65 years old,1k-5k employees (Global)
2186,Sears Holdings,3.4,(166 Reviews),Private,"Hoffman Estates,Illinois + 4 more",12 years old,50k-1 Lakh employees (Global)
2187,Vertex,3.5,(166 Reviews),Private,"Panchkula,Haryana + 18 more",32 years old,1k-5k employees (Global)
2188,Eastern Condiments,4.1,(166 Reviews),Private,"Idukki,Kerala + 31 more",38 years old,1k-5k employees (Global)
2189,Vertex,3.5,(166 Reviews),Private,"Panchkula,Haryana + 18 more",32 years old,1k-5k employees (Global)
2190,DHL Global Forward...,4.1,(166 Reviews),Private,Bonn + 15 more,206 years old,1k-5k employees (India)
2191,Origo Commodities,3.8,(166 Reviews),Private,Gurgaon + 35 more,11 years old,1k-5k employees (India)
2192,Rajasthan Patrika,3.0,(166 Reviews),Private,"Jaipur,Rajasthan + 32 more",65 years old,1k-5k employees (Global)
2193,Maharashtra Hybrid...,4.2,(166 Reviews),Jalna + 37 more,57 years old,11-50 employees (India),
